area_m2,lat,lon,price_usd
74.0,19.3223015,-99.1035542,49669.35294117647
63.0,19.39106,-99.14775,39588.23529411765
50.0,19.41275,-99.126007,40094.35294117647
75.0,19.38751,-99.142247,44117.64705882353
103.0,19.270735,-99.175292,108823.5294117647
67.0,,,164705.88235294117
110.0,19.343979,-99.124863,129411.76470588235
124.0,19.3815906,-99.1653974,335882.35294117645
129.0,19.403334,-99.157755,147058.82352941178
130.0,,,271170.5882352941
80.0,19.361385,-99.246689,38058.82352941176
80.0,19.38828,-99.195529,44533.705882352944
70.0,19.3755039,-99.1630337,214705.88235294117
70.0,19.3865508,-99.1937082,96647.05882352941
58.0,19.452365,-99.124572,27058.823529411766
70.0,19.392185,-99.135357,56470.58823529412
65.0,19.323772,-99.116562,37941.17647058824
98.0,19.469769,-99.157379,144757.5294117647
63.0,19.441047,-99.135306,21058.823529411766
70.0,,,37647.05882352941
68.0,19.399461,-99.175182,56882.35294117647
60.0,19.4900536,-99.0935504,42352.94117647059
63.0,19.417363,-99.068463,44734.117647058825
101.0,19.341894,-99.224525,264705.8823529412
51.0,19.386852,-99.194748,96975.82352941176
75.0,19.326922,-99.121203,52617.64705882353
55.0,19.439253,-99.163605,98823.5294117647
85.0,,,49294.117647058825
100.0,23.634501,-102.552788,205882.35294117648
70.0,19.384467,-99.135872,109411.76470588235
96.0,19.373306,-99.146919,168029.41176470587
70.0,19.309208,-99.171906,86588.23529411765
87.0,19.383446,-99.137643,60650.0
52.0,19.392349,-99.07093,68705.88235294117
102.0,19.39912,-99.141464,197647.0588235294
65.0,19.411112,-99.193066,69411.76470588235
88.0,19.369509,-99.172532,100588.23529411765
146.0,,,398823.5294117647
55.0,19.364891,-99.148384,85882.35294117648
127.0,,,282352.9411764706
109.0,19.3668017,-99.1724994,264705.8823529412
95.0,19.375412,-99.144234,67058.82352941176
83.0,,,219705.88235294117
70.0,19.445553,-99.097057,56869.41176470588
104.0,19.377369,-99.198052,132352.9411764706
65.0,23.634501,-102.552788,64705.882352941175
60.0,19.3778105,-99.1975082,91176.4705882353
63.0,19.417923,-99.148384,86135.29411764706
98.0,19.380937,-99.179545,185882.35294117648
90.0,19.38828,-99.195529,44533.705882352944
80.0,19.370046,-99.146155,88235.29411764706
90.0,19.390844,-99.164664,204901.9411764706
117.0,19.394358,-99.177444,345529.4117647059
65.0,19.29707,-99.051074,36580.17647058824
65.0,19.441879,-99.167819,35102.94117647059
80.0,19.469769,-99.157379,161470.58823529413
75.0,19.452255,-99.124703,61176.470588235294
60.0,19.458831,-99.203999,62352.94117647059
78.0,19.437285,-99.174303,118996.4705882353
104.0,19.371132,-99.173156,108549.0
76.0,19.364005,-99.153602,116882.35294117648
63.0,19.298347,-99.116905,55882.35294117647
91.0,19.401456,-99.146787,101764.70588235294
60.0,19.386852,-99.194748,44117.64705882353
51.0,19.473415,-99.143539,76882.35294117648
62.0,19.39365,-99.14769,156711.17647058822
70.0,19.3437444,-99.1561883,73529.41176470589
70.0,19.371132,-99.173156,109137.29411764706
60.0,19.452689,-99.117987,35294.117647058825
75.0,19.359901,-99.189606,52411.76470588235
75.0,19.306725,-99.182521,144117.64705882352
130.0,19.486507,-99.119751,176176.4705882353
84.0,19.287598,-99.14769,172841.35294117648
87.0,19.432657,-99.177444,259764.70588235295
70.0,19.365843,-99.149901,85882.35294117648
80.0,19.368568,-99.15031,97058.82352941176
102.0,19.50384,-99.130804,66470.58823529411
70.0,19.457129,-99.174456,68536.88235294117
83.0,19.302656,-99.111725,182882.35294117648
69.0,19.474559,-99.187221,155263.5294117647
85.0,19.441809,-99.156423,67895.23529411765
60.0,19.449997,-99.18117,82352.94117647059
